env_time,total_time,avg_simulation_second,event_store_size
1,0:00:00.611071,0:00:00.611071,0
2,0:00:01.258819,0:00:00.629410,0
3,0:00:02.026777,0:00:00.675592,0
4,0:00:02.759162,0:00:00.689790,0
5,0:00:03.372606,0:00:00.674521,0
6,0:00:03.934745,0:00:00.655791,0
7,0:00:04.665120,0:00:00.666446,0
8,0:00:05.239902,0:00:00.654988,0
9,0:00:05.717250,0:00:00.635250,0
10,0:00:06.237645,0:00:00.623764,0
11,0:00:06.726950,0:00:00.611541,0
12,0:00:07.244709,0:00:00.603726,0
13,0:00:07.709299,0:00:00.593023,0
14,0:00:08.187908,0:00:00.584851,0
15,0:00:08.690241,0:00:00.579349,0
16,0:00:09.164809,0:00:00.572801,0
17,0:00:09.640735,0:00:00.567102,0
18,0:00:10.122874,0:00:00.562382,0
19,0:00:10.601962,0:00:00.557998,0
20,0:00:11.074531,0:00:00.553727,0
21,0:00:11.558423,0:00:00.550401,0
22,0:00:12.050185,0:00:00.547736,0
23,0:00:12.544088,0:00:00.545395,0
24,0:00:13.034809,0:00:00.543117,0
25,0:00:13.515091,0:00:00.540604,0
